src,dst,relationship
rid_697,rid_754,close_contact
rid_697,rid_548,close_contact
rid_697,rid_430,close_contact
rid_697,rid_329,close_contact
rid_697,rid_185,close_contact
rid_697,rid_836,close_contact
rid_950,rid_65,close_contact
rid_950,rid_599,close_contact
rid_950,rid_468,close_contact
rid_950,rid_981,close_contact
rid_950,rid_595,close_contact
rid_23,rid_960,close_contact
rid_23,rid_689,close_contact
rid_23,rid_191,close_contact
rid_23,rid_516,close_contact
rid_23,rid_824,close_contact
rid_23,rid_996,close_contact
rid_23,rid_769,close_contact
rid_23,rid_143,close_contact
rid_23,rid_854,close_contact
rid_23,rid_951,close_contact
rid_23,rid_771,close_contact
rid_23,rid_54,close_contact
rid_23,rid_892,close_contact
rid_23,rid_749,close_contact
rid_23,rid_238,close_contact
rid_23,rid_644,close_contact
rid_23,rid_206,close_contact
rid_23,rid_724,close_contact
rid_23,rid_319,close_contact
rid_23,rid_563,close_contact
rid_23,rid_854,close_contact
rid_806,rid_549,close_contact
rid_806,rid_169,close_contact
rid_806,rid_317,close_contact
rid_806,rid_590,close_contact
rid_806,rid_82,close_contact
rid_806,rid_615,close_contact
rid_806,rid_309,close_contact
rid_806,rid_48,close_contact
rid_806,rid_239,close_contact
rid_806,rid_846,close_contact
rid_806,rid_863,close_contact
rid_806,rid_863,close_contact
rid_806,rid_239,close_contact
rid_806,rid_707,close_contact
rid_806,rid_164,close_contact
rid_806,rid_519,close_contact
rid_806,rid_137,close_contact
rid_806,rid_484,close_contact
rid_806,rid_387,close_contact
rid_806,rid_139,close_contact
rid_806,rid_134,close_contact
rid_806,rid_842,close_contact
rid_806,rid_682,close_contact
rid_806,rid_170,close_contact
rid_806,rid_454,close_contact
rid_460,rid_735,close_contact
rid_460,rid_503,close_contact
rid_460,rid_65,close_contact
rid_460,rid_809,close_contact
rid_460,rid_463,close_contact
rid_460,rid_170,close_contact
rid_460,rid_868,close_contact
rid_460,rid_750,close_contact
rid_460,rid_596,close_contact
rid_460,rid_92,close_contact
rid_460,rid_599,close_contact
rid_460,rid_783,close_contact
rid_460,rid_953,close_contact
rid_460,rid_374,close_contact
rid_460,rid_262,close_contact
rid_460,rid_47,close_contact
rid_460,rid_599,close_contact
rid_460,rid_780,close_contact
rid_460,rid_666,close_contact
rid_460,rid_496,close_contact
rid_460,rid_116,close_contact
rid_460,rid_468,close_contact
rid_460,rid_981,close_contact
rid_460,rid_379,close_contact
rid_460,rid_595,close_contact
rid_460,rid_36,close_contact
rid_460,rid_561,close_contact
rid_477,rid_253,close_contact
rid_477,rid_722,close_contact
rid_477,rid_616,close_contact
rid_477,rid_994,close_contact
rid_477,rid_754,close_contact
rid_477,rid_548,close_contact
rid_477,rid_430,close_contact
rid_477,rid_329,close_contact
rid_477,rid_185,close_contact
rid_477,rid_836,close_contact
rid_459,rid_38,close_contact
rid_459,rid_354,close_contact
rid_459,rid_421,close_contact
rid_459,rid_508,close_contact
rid_459,rid_94,close_contact
rid_459,rid_331,close_contact
rid_459,rid_420,close_contact
rid_459,rid_695,close_contact
rid_459,rid_356,close_contact
rid_459,rid_867,close_contact
