usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
1,Single Tier Management Corporation,na,S68MC0001B,BENG TONG MANSION,247 TANJONG KATONG ROAD 437035,16,KING GEORGES AVENUE,na,BENG TONG MANSION,208558,na,ACTIVE,3,na,na,23/10/1968
2,Single Tier Management Corporation,na,S68MC0002J,BENTONG MANSION,249 TANJONG KATONG ROAD 437037,203,HOUGANG STREET 21,Jan-71,na,530203,62888059,ACTIVE,3,na,na,23/10/1968
3,Single Tier Management Corporation,na,S68MC0003E,BENG TONG MANSION,251A TANJONG KATONG ROAD 437039,251B,TANJONG KATONG ROAD,na,na,437039,63453007,ACTIVE,3,MCST,na,23/10/1968
4,Single Tier Management Corporation,na,S68MC0004A,BENG TONG MANSION,243B TANJONG KATONG ROAD 428987,23,MOUNT SINAI DRIVE,na,na,277083,62654277,ACTIVE,3,MCST,na,23/10/1968
5,Single Tier Management Corporation,na,S68MC0005H,BENG TONG MANSION,253B TANJONG KATONG ROAD 437041,253B,TANJONG KATONG ROAD,na,na,437041,na,ACTIVE,3,MCST,na,26/10/1968
6,Single Tier Management Corporation,na,S68MC0006D,BENG TONG MANSION,245B TANJONG KATONG ROAD 437033,245,TANJONG KATONG ROAD,na,na,437033,na,ACTIVE,3,MCST,na,26/10/1968
7,Single Tier Management Corporation,na,S68MC0007L,BENG TONG MANSION,241B TANJONG KATONG ROAD 437028,-,TANJONG KATONG ROAD,na,na,437029,63464776,ACTIVE,3,MCST,na,29/10/1968
8,Single Tier Management Corporation,na,S68MC0008G,BENG TONG MANSION,255B TANJONG KATONG ROAD 437043,255,TANJONG KATONG ROAD,na,BEN TONG MANSION,437043,63456920,ACTIVE,3,MCST,na,29/10/1968
9,Single Tier Management Corporation,na,S68MC0009C,BENG TONG MANSION,257B TANJONG KATONG ROAD 437045,257,TANJONG KATONG ROAD,na,na,437045,63457048,ACTIVE,3,MCST,na,29/10/1968
10,Single Tier Management Corporation,na,S68MC0010L,BENG TONG MANSION,259B TANJONG KATONG ROAD 437047,259,TANJONG KATONG ROAD,na,BENGTONG MANSIONS,437047,63456165,ACTIVE,3,MCST,na,29/10/1968
11,Single Tier Management Corporation,na,S69MC0011A,BINJAI PARK,31/A/B BINJAI PARK 589831,31B,BINJAI PARK,na,na,589832,97605320,ACTIVE,6,na,na,13/5/1969
12,Single Tier Management Corporation,na,S69MC0012H,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0012,27B BINJAI PARK 589829,27B,BINJAI PARK,27-B,Binjai Park,589830,64654690,ACTIVE,6,na,na,13/5/1969
13,Single Tier Management Corporation,na,S69MC0013D,BINJAI PARK,23B BINJAI PARK 589827,23A,BINJAI PARK,na,na,589828,90017128,ACTIVE,6,na,na,13/5/1969
14,Single Tier Management Corporation,na,S69MC0014L,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0014,17 BINJAI PARK 589825,19,BINJAI PARK,na,na,589826,96729324,ACTIVE,6,na,na,13/5/1969
15,Single Tier Management Corporation,na,S69MC0015G,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0015,15B BINJAI PARK 589964,8,JELEBU ROAD,6-Jan,na,677671,98364731,ACTIVE,6,MCST,na,13/5/1969
16,Single Tier Management Corporation,na,S69MC0016C,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0016,9 BINJAI PARK 589822,9A,BINJAI PARK,na,na,589822,64665359,ACTIVE,3,NIL,na,13/5/1969
17,Single Tier Management Corporation,na,S69MC0017K,BINJAI PARK,3/A/B BINJAI PARK 589819,1014,GEYLANG EAST AVENUE 3,07-216,na,389729,68440801,ACTIVE,6,Halley Service Pte Ltd,68440801,13/5/1969
18,Single Tier Management Corporation,na,S69MC0018F,MANAGEMENT CORPORATIO STRATA TITLE PLAN NO. 0018,7/A/B BINJAI PARK 589821,1014,GEYLANG EAST AVENUE 3,07-216,na,389729,68440801,ACTIVE,6,Halley Service Pte Ltd,68440801,13/5/1969
19,Single Tier Management Corporation,na,S69MC0019B,VALLEY MANSIONS,58A OXLEY ROAD 238637,50-68,OXLEY ROAD,na,OXLEY MANSIONS,238653,6338 7222,ACTIVE,50,HBA Group Property Consultants Pte Ltd,63387222,13/5/1969
20,Single Tier Management Corporation,na,S69MC0020K,MANDALAY COURT,31/A-G MANDALAY ROAD 308212,31,JALAN BESAR,na,na,0,na,DEFUNCT,44,HALLEY SERVICES PTE LTD,68440801,9/6/1969
21,Single Tier Management Corporation,na,S69MC0021F,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0021,8C LEWIS ROAD 258591,8,LEWIS ROAD,na,na,258593,62352372,ACTIVE,8,na,na,24/7/1969
22,Single Tier Management Corporation,na,S69MC0022B,na,402 JOO CHIAT ROAD,71,LORONG 23 GEYLANG,6-Jan,THK Building,388386,67412422,DEFUNCT,12,BRONSAN INTERS-FURNI CONTRACTS & SERVICES,92205693,21/8/1969
23,Single Tier Management Corporation,na,S69MC0023J,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0023,136C TANJONG KATONG ROAD 436976,130A,TANJONG KATONG ROAD,na,na,436973,97703929,ACTIVE,20,na,na,5/9/1969
24,Single Tier Management Corporation,na,S69MC0024E,SPRING COURT / SPRING MANSION,584/A/B/C BALESTIER ROAD 329367,574,BALESTIER ROAD,na,SPRING COURT / SPRING MANSION,329889,90220505,DEFUNCT,54,na,na,26/9/1969
25,Single Tier Management Corporation,na,S69MC0025A,GOLDHILL TOWERS,38 GOLDHILL AVENUE 309021,38-44,GOLDHILL AVENUE,na,GOLDHILL TOWERS,309021,97540647,ACTIVE,50,na,na,15/10/1969
26,Single Tier Management Corporation,na,S69MC0026H,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0026,30B FLANDERS SQUARE 209310,30,FLANDERS SQUARE,na,na,209310,62981936,ACTIVE,3,NIL,na,18/11/1969
27,Single Tier Management Corporation,na,S69MC0027D,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0027,28/A/B FLANDERS SQUARE 209309,288,TAMPINES STREET 22,2-346,na,520288,67812736,ACTIVE,3,NIL,na,18/11/1969
28,Single Tier Management Corporation,na,S69MC0028L,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0028,26 FLANDERS SQUARE 209308,6,TAMAN SIREH,na,na,535199,62868382,ACTIVE,3,NIL,na,18/11/1969
29,Single Tier Management Corporation,na,S69MC0029G,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0029,24/A/B FLANDERS SQUARE 209307,24A,FLANDERS SQUARE,na,na,209307,62967993,ACTIVE,3,NIL,na,18/11/1969
30,Single Tier Management Corporation,na,S69MC0030D,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0030,22/A/B FLANDERS SQUARE 209306,30,JOO CHIAT ROAD,na,SEA BREEZE APARTMENT,427716,63485324,ACTIVE,3,NIL,na,18/11/1969
31,Single Tier Management Corporation,na,S69MC0031L,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0031,20B FLANDERS SQUARE 208305,40L,HERTFORD ROAD,na,na,219392,na,ACTIVE,3,NIL,na,18/11/1969
32,Single Tier Management Corporation,na,S69MC0032G,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0032,18 FLANDERS SQUARE 209304,18,FLANDERS SQUARE,na,na,209304,67486287,ACTIVE,3,NIL,na,18/11/1969
33,Single Tier Management Corporation,na,S69MC0033C,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0033,16B FLANDERS SQUARE 209303,22,BOON KENG ROAD,10-Jul,na,330022,62969476,ACTIVE,3,NIL,na,19/11/1969
34,Single Tier Management Corporation,na,S69MC0034K,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0034,14/A/B FLANDERS SQUARE 209301,14,FLANDERS SQUARE,na,na,209301,62924369,ACTIVE,3,NIL,na,19/11/1969
35,Single Tier Management Corporation,na,S69MC0035F,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0035,12/A/B FLANDERS SQUARE 209300,65,NAMLY PLACE,na,na,267210,96215411,ACTIVE,3,NIL,na,19/11/1969
36,Single Tier Management Corporation,na,S69MC0036B,FLANDERS SQUARE,10 FLANDERS SQUARE 209299,126C,KIM TIAN ROAD,07-513,na,163126,90291308,ACTIVE,3,na,na,19/11/1969
37,Single Tier Management Corporation,na,S69MC0037J,na,8B FLANDERS SQUARE 209298,142,BEDOK RESERVOIR ROAD,08-1541,na,470142,na,ACTIVE,3,MCST,na,19/11/1969
38,Single Tier Management Corporation,na,S69MC0038E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0038,6/A/B FLANDERS SQUARE 209297,22B,LORONG 23 GEYLANG,na,TACPLAS HOUSE,388362,67422250,ACTIVE,3,NIL,na,19/11/1969
39,Single Tier Management Corporation,na,S69MC0039A,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0039,4/A/B FLANDERS SQUARE 209296,4,FLANDERS SQUARE,na,na,209296,na,ACTIVE,3,NIL,na,19/11/1969
40,Single Tier Management Corporation,na,S69MC0040J,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0040,2/A/B FLANDERS SQUARE 209295,2,FLANDERS SQUARE,na,na,209295,na,ACTIVE,3,NIL,na,19/11/1969
41,Single Tier Management Corporation,na,S69MC0041E,PEONY MANSION,46 BENCOOLEN STREET 189624,20,MAXWELL ROAD,12-01A,MAXWELL HOUSE,69113,65354600,DEFUNCT,35,SCMS PROPERTY MANAGEMENT PTE LTD,65354600,22/11/1969
42,Single Tier Management Corporation,na,S69MC0042A,THE SINGAPORE-JOHORE EXPRESSN LTD,4 WHAMPOA DRIVE 327715,4B,WHAMPOA DRIVE,na,na,327715,62510576,ACTIVE,3,NIL,na,29/11/1969
43,Single Tier Management Corporation,na,S69MC0043H,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0043,10 WHAMPOA DRIVE 327720,15,JOO CHIAT LANE,1-Jul,THE LEGEND AT JOO CHIAT,428096,92788338,ACTIVE,3,NIL,na,29/11/1969
44,Single Tier Management Corporation,na,S69MC0044D,na,4 ROBIN ROAD 258177,96,ROBINSON ROAD,10-Jan,na,68899,65366696,DEFUNCT,16,PACIFIC PROPERTY MANAGEMENT PTE LTD,68411535,22/12/1969
45,Single Tier Management Corporation,na,S70MC0045B,na,36/A/B SEAH STREET 188392,36B,SEAH STREET,na,na,188392,63361027,ACTIVE,6,na,na,30/1/1970
46,Single Tier Management Corporation,na,S70MC0046J,NEWTON COURT,118C NEWTON ROAD 307973,TERMINATED,SIMS AVENUE,na,na,na,68421731,DEFUNCT,50,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731,17/2/1970
47,Single Tier Management Corporation,na,S70MC0047E,HOOVER FLATS,11/A/B/C/D JALAN RAMA RAMA 329095,TERMINATED,JALAN KILANG BARAT,na,na,na,na,DEFUNCT,64,NIL,na,6/3/1970
48,Single Tier Management Corporation,na,S70MC0048A,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0048,38C CHANGI ROAD 419701,56A,LORONG 32 GEYLANG,na,na,398316,96303848,ACTIVE,3,NIL,na,23/3/1970
49,Single Tier Management Corporation,na,S70MC0049H,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0049,3E LORONG 12 GEYLANG 398984,12,LORONG 12 GEYLANG,na,na,398984,67483878,ACTIVE,3,NIL,na,31/3/1970
50,Single Tier Management Corporation,na,S70MC0050E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0050,3H LORONG 12 GEYLANG 398984,3H,LORONG 12 GEYLANG,na,na,398984,62800306,ACTIVE,3,NIL,na,31/3/1970
51,Single Tier Management Corporation,na,S70MC0051A,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0051,30B SEAH STREET 188383,27,SEAH STREET,5-Jan,na,188383,63384968,ACTIVE,6,na,na,1/4/1970
52,Single Tier Management Corporation,na,S70MC0052H,(Terminated),17-L TOMLINSON ROAD,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,23,NIL,na,23/4/1970
53,Single Tier Management Corporation,na,S70MC0053D,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0053,69B LORONG 16 GEYLANG 398888,32,LORONG 8 GEYLANG,na,DARLENE HOTEL,399096,90183521,ACTIVE,6,na,na,4/5/1970
54,Single Tier Management Corporation,na,S70MC0054L,SERANGOON MANSION,26C RACE COURSE LANE 218743,2,BALESTIER ROAD,03-669,na,320002,90015253,DEFUNCT,9,na,na,25/5/1970
55,Single Tier Management Corporation,na,S70MC0055G,(Terminated),4C JALAN MUTIARA,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,8,NIL,na,13/6/1970
56,Single Tier Management Corporation,na,S70MC0056C,NA,11A/B SING AVENUE 217865,21A,SING AVENUE,na,na,217869,62987519,ACTIVE,12,na,na,26/6/1970
57,Single Tier Management Corporation,na,S70MC0057K,ENG AUN MANSION,322/A/B/C THOMSON ROAD 307658,304-322,THOMSON ROAD,na,ENG AUN MANSION,307654,94246139,ACTIVE,40,ACE DECISION FACILITIES MANAGEMENT PTE LTD,94246138,30/6/1970
58,Single Tier Management Corporation,na,S70MC0058F,NULL,NIL JOO CHIAT PLACE,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,8,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,15/7/1970
59,Single Tier Management Corporation,na,S70MC0059B,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0059,74 LORONG 25A GEYLANG 388257,74-B,LORONG 25A GEYLANG,na,na,388257,67484575,ACTIVE,3,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,17/7/1970
60,Single Tier Management Corporation,na,S70MC0060K,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0060,76 LORONG 25A GEYLANG 388258,76,LORONG 25A GEYLANG,na,na,388258,68379068,ACTIVE,3,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,17/7/1970
61,Single Tier Management Corporation,na,S70MC0061F,78 LORONG 25A GEYLANG,78 LORONG 25A GEYLANG 388259,110,JALAN JURONG KECHIL,2-Jan,SWEEBI HOUSE,598606,64681949,ACTIVE,3,na,na,17/7/1970
62,Single Tier Management Corporation,na,S70MC0062B,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0062,80 LORONG 25A GEYLANG 388260,80,LORONG 25A GEYLANG,na,na,388260,na,ACTIVE,3,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64685100,17/7/1970
63,Single Tier Management Corporation,na,S70MC0063J,DRAGON MANSION,14 SPOTTISWOODE PARK ROAD 088641,2,KALLANG AVENUE,Sep-28,CT HUB,339407,67356255,DEFUNCT,68,AV CONSULTANTS PTE LTD,67356255,12/9/1970
64,Single Tier Management Corporation,na,S70MC0064E,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0064,39B TRURO ROAD 217579,39A,TRURO ROAD,na,na,217577,98452175,ACTIVE,4,na,na,14/9/1970
65,Single Tier Management Corporation,na,S70MC0065A,MOULMEIN RISE,12C MOULMEIN RISE,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,8,NIL,na,21/9/1970
66,Single Tier Management Corporation,na,S70MC0066H,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0066,163 MACPHERSON ROAD 348532,101A,UPPER CROSS STREET,Nov-14,na,58358,65364336,ACTIVE,3,NIL,na,2/10/1970
67,Single Tier Management Corporation,na,S70MC0067D,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0067,71 JALAN WANGI 349385,71,JALAN WANGI,na,na,349385,62812355,ACTIVE,3,NIL,na,2/10/1970
68,Single Tier Management Corporation,na,S70MC0068L,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0068,73B JALAN WANGI 349386,73,JALAN WANGI,na,na,349386,62887168,ACTIVE,3,na,na,2/10/1970
69,Single Tier Management Corporation,na,S70MC0069G,MANAGEMENT CORPORATION STRATA TITLE PLAN NO. 0069,77 JALAN WANGI 349388,77,JALAN WANGI,na,na,349388,na,ACTIVE,3,MCST,na,2/10/1970
70,Single Tier Management Corporation,na,S70MC0070D,UNITED MANSION,596C EAST COAST ROAD 458998,540,SIMS AVENUE,3-Jun,SIMS AVENUE CENTRE,387603,68421731,ACTIVE,48,Landsfield Property Consultants Pte Ltd,68421731,24/10/1970
71,Single Tier Management Corporation,na,S70MC0071L,NULL,56/A/B/C MARTABAN ROAD 328666,TERMINATED,YUK TONG AVENUE,na,na,596306,64661342,DEFUNCT,8,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,23/11/1970
72,Single Tier Management Corporation,na,S70MC0072G,DRAGON VIEW PK (Terminated),13B JALAN MUTIARA,TERMINATED,na,na,STRATA TITLES SCHEME TERMINATED,na,na,DEFUNCT,16,PHILIP MOTHA PROPERTY MANAGEMENT PTE LTD,64661342,17/11/1970
73,Single Tier Management Corporation,na,S70MC0073C,Management Corporation Strata Title No. 0073,2 GRAY LANE 438938,2B,GRAY LANE,na,Gray Lane Management Corporation,438934,96906197,ACTIVE,10,na,na,17/11/1970
74,Single Tier Management Corporation,na,S70MC0074K,HONG THYE HOUSE,7E LORONG 39 GEYLANG 387867,701,GEYLANG ROAD,2-Apr,TEAMBUILD CENTRE,389687,na,DEFUNCT,12,PROMPTSERVE PTY MGT PTE LTD,91776959,19/11/1970
75,Single Tier Management Corporation,na,S70MC0075F,BOTANIC GARDENS MANSION,10 TAMAN SERASI 257721,2| 10| 18,TAMAN SERASI,na,BOTANIC GARDENS MANSION,257718,64732588,ACTIVE,112,CHAMBERS PROPERTY MANAGEMENT SERVICES PTE LTD,64732588,21/12/1970
